claim_id,class,subject_type,subject_id,subject_name,predicate,object_type,object_id,object_name,polarity,matrix,process,method,study_type,year,citation_count,weight,n_independent_sources,provenance
A-1-63,A_molecule_contributes_to_descriptor,molecule,1,3-(1-pyrrolyl)butan-2-one,contributes_to,sensory_descriptor,63,fruity,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-2-124,A_molecule_contributes_to_descriptor,molecule,2,2-[(methyldithio)methyl]furan (2-furfurylmethyl disulfide),contributes_to,sensory_descriptor,124,fresh white bread crust,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-2-120,A_molecule_contributes_to_descriptor,molecule,2,2-[(methyldithio)methyl]furan (2-furfurylmethyl disulfide),contributes_to,sensory_descriptor,120,freshly baked bread,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-2-87,A_molecule_contributes_to_descriptor,molecule,2,2-[(methyldithio)methyl]furan (2-furfurylmethyl disulfide),contributes_to,sensory_descriptor,87,roasted bread crust,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-2-564,A_molecule_contributes_to_descriptor,molecule,2,2-[(methyldithio)methyl]furan (2-furfurylmethyl disulfide),contributes_to,sensory_descriptor,564,white bread crust,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-3-98,A_molecule_contributes_to_descriptor,molecule,3,"3,5-dimethyl-2-hydroxy-2-cyclopenten-1-one",contributes_to,sensory_descriptor,98,strong caramel,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-4-63,A_molecule_contributes_to_descriptor,molecule,4,2-ethyl-5-methyl-2-oxazoline,contributes_to,sensory_descriptor,63,fruity,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-4-300,A_molecule_contributes_to_descriptor,molecule,4,2-ethyl-5-methyl-2-oxazoline,contributes_to,sensory_descriptor,300,melon,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-5-264,A_molecule_contributes_to_descriptor,molecule,5,"1,2-dithiacyclopentene (3H-1,2-dithiole)",contributes_to,sensory_descriptor,264,pleasant smell like cooked asparagus,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-6-186,A_molecule_contributes_to_descriptor,molecule,6,"(E,Z)-3,6-nonadien-1-ol",contributes_to,sensory_descriptor,186,cucumber,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-6-488,A_molecule_contributes_to_descriptor,molecule,6,"(E,Z)-3,6-nonadien-1-ol",contributes_to,sensory_descriptor,488,melon rind,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-7-6,A_molecule_contributes_to_descriptor,molecule,7,"4-ethyl-2,6-dimethyldihydro-1,3,5-dithiazine",contributes_to,sensory_descriptor,6,cooked beef,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-7-38,A_molecule_contributes_to_descriptor,molecule,7,"4-ethyl-2,6-dimethyldihydro-1,3,5-dithiazine",contributes_to,sensory_descriptor,38,onion,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-8-24,A_molecule_contributes_to_descriptor,molecule,8,acetylpyrazine,contributes_to,sensory_descriptor,24,biscuit,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-8-343,A_molecule_contributes_to_descriptor,molecule,8,acetylpyrazine,contributes_to,sensory_descriptor,343,cracker,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-9-606,A_molecule_contributes_to_descriptor,molecule,9,2-(1-methylthioethyl)-3-methyl-4-(methylthiomethyl)thiophene,contributes_to,sensory_descriptor,606,cabbage,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-9-485,A_molecule_contributes_to_descriptor,molecule,9,2-(1-methylthioethyl)-3-methyl-4-(methylthiomethyl)thiophene,contributes_to,sensory_descriptor,485,phenolic,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-9-572,A_molecule_contributes_to_descriptor,molecule,9,2-(1-methylthioethyl)-3-methyl-4-(methylthiomethyl)thiophene,contributes_to,sensory_descriptor,572,rubber,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-10-147,A_molecule_contributes_to_descriptor,molecule,10,naphthalene,contributes_to,sensory_descriptor,147,camphoric,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-10-530,A_molecule_contributes_to_descriptor,molecule,10,naphthalene,contributes_to,sensory_descriptor,530,greasy,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-10-117,A_molecule_contributes_to_descriptor,molecule,10,naphthalene,contributes_to,sensory_descriptor,117,oily,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-11-225,A_molecule_contributes_to_descriptor,molecule,11,2-(1-mecraptoethyl)furan,contributes_to,sensory_descriptor,225,elderberry,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-11-498,A_molecule_contributes_to_descriptor,molecule,11,2-(1-mecraptoethyl)furan,contributes_to,sensory_descriptor,498,mocha,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-11-163,A_molecule_contributes_to_descriptor,molecule,11,2-(1-mecraptoethyl)furan,contributes_to,sensory_descriptor,163,roast,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-12-475,A_molecule_contributes_to_descriptor,molecule,12,3-methylindole (skatole),contributes_to,sensory_descriptor,475,musty fecal,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-13-252,A_molecule_contributes_to_descriptor,molecule,13,2-acetyl-4-isopropenylpyridine,contributes_to,sensory_descriptor,252,grass,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-13-605,A_molecule_contributes_to_descriptor,molecule,13,2-acetyl-4-isopropenylpyridine,contributes_to,sensory_descriptor,605,mint,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-13-177,A_molecule_contributes_to_descriptor,molecule,13,2-acetyl-4-isopropenylpyridine,contributes_to,sensory_descriptor,177,somewhat amber,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-13-364,A_molecule_contributes_to_descriptor,molecule,13,2-acetyl-4-isopropenylpyridine,contributes_to,sensory_descriptor,364,sweet,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-14-216,A_molecule_contributes_to_descriptor,molecule,14,2-pinen-5-ol,contributes_to,sensory_descriptor,216,dusty,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-14-218,A_molecule_contributes_to_descriptor,molecule,14,2-pinen-5-ol,contributes_to,sensory_descriptor,218,musty,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-15-416,A_molecule_contributes_to_descriptor,molecule,15,3-[(E)-1-buten-1-yl]-4-propylpyridine,contributes_to,sensory_descriptor,416,earhty green,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-15-100,A_molecule_contributes_to_descriptor,molecule,15,3-[(E)-1-buten-1-yl]-4-propylpyridine,contributes_to,sensory_descriptor,100,green bean,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-15-382,A_molecule_contributes_to_descriptor,molecule,15,3-[(E)-1-buten-1-yl]-4-propylpyridine,contributes_to,sensory_descriptor,382,powdery musk,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-16-250,A_molecule_contributes_to_descriptor,molecule,16,"1,3,5-trithiane",contributes_to,sensory_descriptor,250,sulfurous,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
